siteID,siteName,address,latitude,longitude
93498,PHX Building 139,2745 E Air Ln,37.44299,-121.02176
93499,Old Verde Park Cntr,916 E Van Buren St,37.45205,-121.06179
93500,North Ranger Station - Old,11659 N 16th St,37.59485,-121.04768
93501,Lookout Mountain Trailhead,15415 N 16th St,37.6272,-121.0482
93502,Laveen Basin,6039 S 43rd Ave,37.39098,-121.14917
93503,Tawa Mini Park,4540 N 11th Ave,37.50389,-121.08718
93504,Ho-E Mini Park,128 W Illini St,37.41183,-121.07694
93505,PHX Hangar 1,2435 E Air Ln,37.4437,-121.02926
93506,Kierland Park,15800 N 66th St,37.63164,-121.94024
93507,Mong Park,1432 E Wood St,37.40884,-121.04993
93508,Sunset Basin,3830 N 63rd Ave,37.49361,-121.1967
93509,Crossed Arrows Park,6102 E Acoma Rd,37.62045,-121.94934
93510,Watkins Center,1210 W Watkins Rd,37.42621,-121.08767
93511,PHX Hangar 18,2411 E Air Ln,37.44302,-121.0293
93512,PHX Commercial Wash Rack,2417 E Air Ln,37.44369,-121.02942
93513,PHX Hangar 20,2411 E Air Ln,37.44302,-121.02969
93514,PHX Hangar 19,2411 E Air Ln,37.44304,-121.02953
93515,Roosevelt Mini Park,837 N 3rd Ave,37.45811,-121.0774
93516,PHX Building 121,2535 E Air Ln,37.44301,-121.02865
93517,Construction Site - NSD,415 E Puget Ave,37.56666,-121.06819
93518,Yapa Park,2732 E Mobile Ln,37.40172,-121.0227
93519,DVT Covered Wash Area,1200 W Deer Valley Dr,37.68419,-121.0883
93520,Virginia Park,2605 N 15th St,37.47683,-121.04941
93521,PHX Hangar 23,417 S 24th St,37.44354,-121.0297
93522,Taos House,4619 E Washington St,37.44646,-121.98589
93523,Ladmo Park,3101 N 41st Dr,37.48412,-121.1481
93524,Generator-326 S 1 AVE,326 S 1st Ave,37.44446,-121.07508
93525,Old AZGFD Office,2245 W Greenway Rd,37.62489,-121.10651
93526,Cancer Survivors Park,1428 N 1st St,37.46456,-121.07255
93527,Townsend Park,520 E Lynwood St,37.46531,-121.06692
93528,Housing Admin Parking,906 E Jefferson St,37.44752,-121.06177
93529,Ninos Park,1305 W Sherman St,37.43956,-121.0895
93530,Shaw Butte Trailhead,12898  N Central Ave,37.60361,-121.07418
93531,Norton Park,1224 E Hatcher Rd,37.5716,-121.05546
93532,Cashman Park,22222 N 44th Pl,37.68937,-121.98066
93537,PHX Hangar 22,2411 E Air Ln,37.44378,-121.02972
93534,Encanto Boathouse,2605 N 15th Ave,37.47629,-121.08937
93535,Adams St Parking Lot,717 W Washington St,37.44876,-121.08319
93536,Mercury Mine Basin Park,3725 E Mountain View Rd,37.57486,-121.00944
93537,Country Gables Park,3120 W Banff Ln,37.62091,-121.12772
93538,PHX Building 131 - G,2625 E Air Ln,37.44373,-121.02471
93539,40th St Trailhead,9200 N 40th St,37.56789,-121.99642
