Site ID, Building Type ,Building Area
93498,REPAIRSERVICES,3616
93499,UNKNOWN,0
93500,OFFICE,0
93501,OUTDOORREC,0
93502,PARK,0
93503,PARK,0
93504,PARK,0
93505,HANGAR,0
93506,PARK,0
93507,PARK,0
93508,PARK,0
93509,PARK,0
93510,OTHERLODGINGRES,28000
93511,HANGAR,3772
93512,REPAIRSERVICES,0
93513,HANGAR,3772
93514,HANGAR,3772
93515,PARK,0
93516,HANGAR,3600
93517,VACANT,0
93518,PARK,0
93519,OTHERSERVICES,0
93520,PARK,0
93521,HANGAR,3772
93522,MUSEUM,441
93523,PARK,0
93524,ENERGYPOWERSTATI,0
93525,VACANT,8400
93526,PARK,0
93527,PARK,0
93528,PARKING,0
93529,PARK,0
93530,Other - Rec,0
93531,PARK,0
93532,PARK,0
93533,HANGAR,3772
93534,OTHERRECREATION,3000
93535,PARKING,0
93536,PARK,0
93537,PARK,0
93538,UKNOWN,3800
93539,OUTDOORREC,0
93540,PARK,0
93541,PARK,0
93542,PARK,0
93543,FOOD,0
93544,PARK,0
93545,OUTDOORREC,0
93546,UNKNOWN,700
93547,PARK,0
93548,TRANSPORTATIONTE,0
93549,PARK,0
93550,OTHERUTILITY,0
93551,PARK,0
93552,PARK,0
93553,PARK,0
93554,HANGAR,3256
93555,SWIMMINGPOOL,7422
93556,SWIMMINGPOOL,0
93557,PARK,0
93558,Other - Services,2000
93559,OFFICE,3850
93560,PARK,0
93561,SWIMMINGPOOL,15915
93562,PARK,0
93563,PARK,0
93564,PARK,0
93565,RESTAURANT,4297
93566,PARK,0
93567,PARK,0
93568,MULTIHOUSING,0
93569,Other - Rec,0
93570,PARK,0
93571,PARK,0
93572,SWIMMINGPOOL,15522
93573,PARK,0
93574,MULTIHOUSING,0
93575,PARK,0
93576,PARK,0
93577,PARK,0
93578,PARK,0
93579,HANGAR,29643
93580,HANGAR,0
93581,PARK,0
93582,MULTIHOUSING,0
93583,UNKNOWN,0
93584,REPAIRSERVICES,11200
93585,PARK,0
93586,PARK,0
93587,OUTDOORREC,0
93588,PARK,0
93589,HANGAR,0
93590,PARK,0
93591,PARK,0
93592,MUSEUM,0
93593,OFFICE,2250
93594,PARK,0
93595,PARK,0
93596,WAREHOUSE-UNREFR,2654
93597,MULTIHOUSING,55798
93598,PARK,0
93599,PARK,0
93600,WAREHOUSE-UNREFR,0
93601,OTHER,800
93602,PARK,0
93603,PARK,0
93604,REPAIRSERVICES,2550
93605,PARK,0
93606,PARK,0
93607,OTHER,8000
93608,TRANSPORTATIONTE,0
93609,PARK,0
93610,PARK,0
93611,PARK,0
93612,PARK,0
93613,PARK,0
93614,SWIMMINGPOOL,4524
93615,PARK,0
93616,PARK,0
93617,PARK,0
93618,WAREHOUSE-UNREFR,0
93619,CEMETERY,2684
93620,OFFICE,16652
93621,PARK,0
93622,PARK,0
93623,PARK,0
93624,HANGAR,4700
93625,PARKING,0
93626,PARK,0
93627,HANGAR,0
93628,PARK,0
93629,PARK,0
93630,PARK,0
93631,PARK,0
93632,HANGAR,3600
93633,PARK,0
93634,REPAIRSERVICES,7636
93635,SWIMMINGPOOL,9206
93636,PARK,0
93637,PARKING,0
93638,OFFICE,3500
93639,MUSEUM,0
93640,ARTCENTER,5425
93641,PARK,0
93642,PARK,0
93643,FIRESTATION,4636
93644,PARK,0
93645,MUSEUM,0
93646,PARK,0
93647,SWIMMINGPOOL,0
93648,PARK,0
93649,OFFICE,4800
93650,MUSEUM,5400
93651,PARK,0
93652,PARK,0
93653,OFFICE,0
93654,Retail,3475
93655,COMMUNITYCENTER,0
93656,TRANSPORTATIONTE,153
93657,HANGAR,4900
93658,RESTAURANT,0
93659,OFFICE,0
93660,REPAIRSERVICES,0
93661,FIRESTATION,4632
93662,RETAIL,3036
93663,PARK,0
93664,PARK,0
93665,PARK,0
93666,COMMUNITYCENTER,0
93667,PARK,0
93668,PARK,0
93669,RESTAURANT,0
93670,TRANSPORTATIONTE,0
93671,OUTDOORREC,0
93672,SOCIALMEETINGHAL,0
93673,MULTIHOUSING,0
93674,PARK,0
93675,Other - Rec,5000
93676,PARK,0
93677,TRANSPORTATIONTE,433
93678,TRANSPORTATIONTE,226
93679,VOCATIONALSCHOOL,4632
93680,MIXEDUSEPROPERTY,5400
93681,VOCATIONALSCHOOL,9216
93682,PARK,0
93683,COMMUNITYCENTER,6433
93684,PARK,0
93685,OTHERRECREATION,6783
93686,PARK,0
93687,TRANSPORTATIONTE,80
93688,REPAIRSERVICES,4752
93689,MUSEUM,10000
93690,HANGAR,16947
93691,HANGAR,0
93692,RESTAURANT,0
93693,PARK,0
93694,PARKING,0
93695,HANGAR,3600
93696,RETAIL,6000
93697,PARK,0
93698,FIRESTATION,5809
93699,LANDFILL,0
93700,LANDFILL,0
93701,REPAIRSERVICES,0
93702,PARK,0
93703,FIRESTATION,3540
93704,HANGAR,0
93705,FIRESTATION,4636
93706,PARK,0
93707,FIRESTATION,3340
93708,SWIMMINGPOOL,0
93709,HANGAR,0
93710,PARK,0
93711,PARK,0
93712,PARK,0
93713,PARK,0
93714,PARK,0
93715,LANDFILL,0
93716,LANDFILL,0
93717,WAREHOUSE-UNREFR,7000
93718,SENIORCENTER,8000
93719,UNKNOWN,0
93720,COMMUNITYCENTER,6976
93721,PARK,0
93722,SWIMMINGPOOL,14724
93723,PARK,0
93724,COMMUNITYCENTER,13028
93725,COMMUNITYCENTER,7324
93726,TRANSPORTATIONTE,0
93727,MUSEUM,3450
93728,PARK,0
93729,PARKING,32526
93730,MULTIHOUSING,41613
93731,TRACK,2600
93732,TRANSPORTATIONTE,0
93733,MULTIHOUSING,55798
93734,WELL,0
93735,FIRESTATION,11000
93736,MULTIHOUSING,863850
93737,TRANSPORTATIONTE,0
93738,FIRESTATION,4636
93739,FIRESTATION,4636
93740,TRANSPORTATIONTE,4000
93741,PARK,0
93742,PARK,3715
93743,COMMUNITYCENTER,7500
93744,FIRESTATION,4200
93745,OFFICE,7084
93746,FIRESTATION,5908
93747,FIRESTATION,5908
93748,FIRESTATION,4200
93749,MUSEUM,10000
93750,FOODSERVICE,10732
93751,REPAIRSERVICES,6888
93752,FIRESTATION,4597
93753,PARK,0
93754,PERFORMINGARTS,11560
93755,FIRESTATION,7300
93756,MULTIHOUSING,0
93757,HANGAR,15028
93758,SWIMMINGPOOL,8170
93759,FIRESTATION,7200
93760,SENIORCENTER,10300
93761,FIRESTATION,4597
93762,FIRESTATION,4200
93763,PARK,0
93764,SWIMMINGPOOL,12142
93765,FIRESTATION,7091
93766,FIRESTATION,4597
93767,MULTIHOUSING,0
93768,Office,2160
93769,PARKING,0
93770,SWIMMINGPOOL,0
93771,HANGAR,15028
93772,WAREHOUSE-UNREFR,2300
93773,PARK,0
93774,FIRESTATION,7091
93775,PARK,0
93776,FIRESTATION,7200
93777,HANGAR,14892
93778,TRANSPORTATIONTE,293
93779,FIRESTATION,6466
93780,FIRESTATION,3425
93781,PARK,0
93782,MULTIHOUSING,46480
93783,LIBRARY,6600
93784,MULTIHOUSING,0
93785,FIRESTATION,12291
93786,FIRESTATION,12000
93787,FIRESTATION,7162
93788,RETAIL,0
93789,OFFICE,10200
93790,PARK,0
93791,FIRESTATION,6016
93792,FIRESTATION,7200
93793,LIBRARY,6600
93794,SENIORCENTER,10800
93795,SWIMMINGPOOL,60000
93796,FIRESTATION,5809
93797,FIRESTATION,7091
93798,PARK,0
93799,WAREHOUSEUR,20300
93800,FIRESTATION,7162
93801,PARKING,0
93802,FIRESTATION,6194
93803,FIRESTATION,5908
93804,FIRESTATION,6016
93805,MIXEDUSEPROPERTY,11708
93806,OFFICE,5941
93807,LIBRARY,6915
93808,PARK,0
93809,PARKING,0
93810,OFFICE,29900
93811,SWIMMINGPOOL,5352
93812,PARK,0
93813,OFFICE,9255
93814,UNKNOWN,0
93815,SENIORCENTER,12766
93816,REPAIRSERVICES,11456
93817,POLICESTATION,7300
93818,TRANSPORTATIONTE,366
93819,FIRESTATION,6016
93820,SOCIALMEETINGHAL,0
93821,FIRESTATION,14000
93822,LIFESTYLECENTER,13500
93823,FIRESTATION,12000
93824,PARK,0
93825,FIRESTATION,9500
93826,FIRESTATION,9556
93827,COMMUNITYCENTER,13855
93828,PARK,0
93829,FITNESSCENTERGYM,12300
93830,HANGAR,14892
93831,FIRESTATION,14000
93832,FIRESTATION,13700
93833,COMMUNITYCENTER,13273
93834,FIRESTATION,7396
93835,GYM_STADIUM,13273
93836,HANGAR,14892
93837,TRANSPORTATIONTE,13572
93838,ARTCENTER,22344
93839,PARKING,0
93840,WAREHOUSE-UNREFR,0
93841,OFFICE,18459
93842,SWIMMINGPOOL,0
93843,FIRESTATION,14000
93844,SWIMMINGPOOL,0
93845,PARK,0
93846,LIBRARY,10000
93847,ADULTEDUCATION,10223
93848,FIRESTATION,11600
93849,FIRESTATION,11957
93850,OFFICE,17152
93851,LIBRARY,15000
93852,PARK,0
