Site ID,Department,Current Solar,Electric Utility,Electricity Usage,Peak Electric Demand,Natural Gas Usage,Energy Use Intensity
93498,Aviation,0,PG&E,1,0,0,0
93499,Parks,0,PG&E,12,0,0,0
93500,Parks,0,PG&E,77,0,0,0
93501,Parks,0,PG&E,242,0,0,0
93502,Parks,0,SJCE,317,0,0,0
93503,Parks,0,SJCE,489,0,0,0
93504,Parks,0,SJCE,552,0,0,0
93505,Aviation,0,PG&E,671,0,0,0
93506,Parks,0,PG&E,749,0,0,0
93507,Parks,0,SJCE,888,0,0,0
93508,Parks,0,SJCE,896,1,0,0
93509,Parks,0,PG&E,974,0,0,0
93510,Human Services,0,PG&E,990,0,0,0.11
93511,Aviation,0,PG&E,1141,0,0,0.95
93512,Aviation,0,PG&E,1364,0,0,0
93513,Aviation,0,PG&E,1374,0,0,1.14
93514,Aviation,0,PG&E,1471,0,0,1.22
93515,Parks,0,PG&E,1579,0,0,0
93516,Aviation,0,PG&E,1608,0,0,1.4
93517,Neighborhood,0,PG&E,1640,0,0,0
93518,Parks,0,SJCE,2169,2,0,0
93519,Aviation,0,PG&E,2465,0,0,0
93520,Parks,0,PG&E,2734,0,0,0
93521,Aviation,0,PG&E,3036,0,0,2.53
93522,Parks,0,PG&E,3135,0,0,22.33
93523,Parks,0,SJCE,3264,2,0,0
93524,Streets,0,PG&E,3367,0,17,0
93525,Parks,0,PG&E,3585,0,0,1.34
93526,Parks,0,PG&E,3968,0,0,0
93527,Parks,0,PG&E,3975,0,0,0
93528,Housing,0,PG&E,4342,0,0,0
93529,Parks,0,PG&E,4360,0,0,0
93530,Parks,0,PG&E,4389,0,0,0
93531,Parks,0,PG&E,4622,0,0,0
93532,Parks,0,PG&E,4717,9,0,0
93533,Aviation,0,PG&E,4763,0,0,3.97
93534,Parks,0,PG&E,5164,0,0,5.41
93535,Police,0,PG&E,5451,0,0,0
93536,Parks,0,PG&E,5502,0,0,0
93537,Parks,0,PG&E,5604,0,0,0
93538,Aviation,0,PG&E,5638,0,0,4.66
93539,Parks,0,PG&E,5664,0,0,0
93540,Parks,0,SJCE,5670,2,0,0
93541,Parks,0,PG&E,5682,0,0,0
93542,Parks,0,PG&E,5723,0,0,0
93543,Parks,0,PG&E,5885,0,0,0
93544,Parks,0,PG&E,5936,0,0,0
93545,Parks,0,PG&E,6210,0,0,0
93546,Parks,0,PG&E,6301,0,0,28.27
93547,Parks,0,PG&E,6644,0,0,0
93548,Public Transit,8,SJCE,6956,38,0,0
93549,Parks,0,PG&E,7036,0,0,0
93550,Police,0,SJCE,7205,3,0,0
93551,Parks,0,PG&E,7256,0,0,0
93552,Parks,0,SJCE,7539,6,0,0
93553,Parks,0,PG&E,7843,0,0,0
93554,Aviation,0,PG&E,8171,0,0,7.88
93555,Parks,0,PG&E,8361,0,605,11.69
93556,Parks,0,PG&E,8369,18,0,0
93557,Parks,0,PG&E,8452,0,0,0
93558,Parks,0,PG&E,8625,0,0,13.55
93559,Aviation,0,PG&E,8722,0,0,7.12
93560,Parks,0,PG&E,9034,0,0,0
93561,Parks,0,SJCE,9185,29,0,1.81
93562,Parks,0,PG&E,9193,0,0,0
93563,Parks,0,SJCE,9861,280,0,0
93564,Parks,0,PG&E,10408,0,0,0
93565,Aviation,0,PG&E,10417,1,0,7.61
93566,Parks,0,PG&E,10507,7,0,0
93567,Parks,0,PG&E,10885,0,0,0
93568,Housing,0,PG&E,10979,0,0,0
93569,Parks,0,PG&E,11180,0,0,0
93570,Parks,0,PG&E,11796,0,0,0
93571,Parks,0,PG&E,12332,0,0,0
93572,Parks,0,PG&E,12544,8,0,2.54
93573,Parks,0,PG&E,12921,64,0,0
93574,Housing,0,PG&E,12980,0,0,0
93575,Parks,0,PG&E,13704,14,0,0
93576,Parks,0,PG&E,13850,0,0,0
93577,Parks,0,PG&E,14035,0,0,0
93578,Parks,0,PG&E,14224,0,0,0
93579,Aviation,0,PG&E,14232,0,0,1.51
93580,Aviation,0,PG&E,14349,0,0,0
93581,Parks,0,SJCE,14939,16,0,0
93582,Housing,41,PG&E,15040,0,0,0
93583,Aviation,0,PG&E,15067,0,0,0
93584,Parks,0,PG&E,15274,0,0,4.28
93585,Parks,0,PG&E,16289,0,0,0
93586,Parks,0,PG&E,16754,0,0,0
93587,Parks,0,PG&E,16856,2,0,0
93588,Parks,0,SJCE,17040,19,0,0
93589,Aviation,0,PG&E,17074,0,0,0
93590,Parks,0,PG&E,17678,0,0,0
93591,Parks,0,SJCE,18068,23,0,0
93592,Parks,0,PG&E,18166,0,0,0
93593,Fire,0,PG&E,18214,0,56,27.92
93594,Parks,0,SJCE,19229,101,0,0
93595,Parks,0,SJCE,19883,28,0,0
93596,Parks,0,PG&E,19977,0,651,48.17
93597,Housing,0,PG&E,20508,0,0,1.15
93598,Parks,0,PG&E,21008,0,0,0
93599,Parks,0,PG&E,21076,0,0,0
93600,Aviation,0,PG&E,21251,0,0,0
93601,Parks,0,PG&E,21561,0,0,84.66
93602,Parks,0,PG&E,21625,0,0,0
93603,Parks,0,SJCE,21680,23,0,0
93604,Parks,0,PG&E,22601,0,0,27.84
93605,Parks,0,PG&E,23022,0,0,0
93606,Parks,0,SJCE,23035,17,0,0
93607,Fire,0,PG&E,23193,0,0,9.11
93608,Public Transit,30,PG&E,23223,0,0,0
93609,Parks,0,PG&E,23908,0,0,0
93610,Parks,0,PG&E,24358,0,0,0
93611,Parks,0,PG&E,24663,76,0,0
93612,Parks,0,PG&E,24929,0,0,0
93613,Parks,0,PG&E,25073,0,0,0
93614,Parks,0,PG&E,25597,28,98,19.94
93615,Parks,0,PG&E,26043,0,0,0
93616,Parks,0,SJCE,26358,50,0,0
93617,Parks,0,SJCE,26360,37,0,0
93618,Aviation,0,PG&E,26494,0,0,0
93619,Parks,0,PG&E,26698,0,0,31.24
93620,Parks,0,SJCE,27599,11,210,6.47
93621,Parks,0,PG&E,28187,0,0,0
93622,Parks,0,SJCE,28249,44,0,0
93623,Parks,0,PG&E,29580,0,0,0
93624,Aviation,0,PG&E,29788,0,0,19.91
93625,Convention,0,PG&E,30714,0,0,0
93626,Parks,0,PG&E,30869,0,0,0
93627,Aviation,0,PG&E,30904,0,0,0
93628,Parks,0,SJCE,31010,29,0,0
93629,Parks,0,PG&E,31231,0,0,0
93630,Parks,0,SJCE,31232,40,0,0
93631,Parks,0,SJCE,31542,19,0,0
93632,Aviation,0,PG&E,31699,0,0,27.66
93633,Parks,0,SJCE,31806,245,0,0
93634,Parks,0,PG&E,32167,0,0,13.23
93635,Parks,0,PG&E,32663,0,50,11.69
93636,Parks,0,SJCE,32706,10,0,0
93637,Parks,0,PG&E,32743,0,0,0
93638,Parks,0,PG&E,32966,0,0,29.58
93639,Parks,0,PG&E,33028,0,0,0
93640,Parks,0,SJCE,33500,34,932,36.58
93641,Parks,0,PG&E,33557,0,0,0
